,Zip Code,Geographic Area Name,Total,Population over 65,Occupied housing units,Total,Median income (dollars),Mean income (dollars),Male population,Female population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,HISPANIC OR LATINO
6,90001,90001,57110,4132,13669,13669,43360,54325,30910,28922,25059,5338,459,189,11,59832
7,90002,90002,51223,3339,12917,12917,37285,49724,25422,27880,22906,10081,793,549,70,53302
8,90003,90003,66266,4551,17484,17484,40598,51181,36135,37595,24417,15245,529,219,51,73730
9,90004,90004,62180,6544,22004,22004,49675,84325,29834,30707,21599,2188,132,15417,176,60541
10,90005,90005,37681,5027,16781,16781,38491,54841,20041,19691,9272,2290,206,13597,65,39732
11,90006,90006,59185,6529,19337,19337,37072,50157,29494,30082,20025,1897,514,10962,113,59576
12,90007,90007,40920,3240,11919,11919,27406,52447,21877,20556,15623,4548,289,8277,66,42433
13,90008,90008,32327,5524,14858,14858,43364,69070,13922,17832,5549,20675,79,1082,44,31754
14,90010,90010,3800,700,2029,2029,63112,82447,1822,2000,811,229,36,2491,36,3822
15,90011,90011,103892,7003,24433,24433,40940,52535,56227,54938,49665,8490,1392,647,66,111165
16,90012,90012,31103,5319,13216,13216,47027,74907,22600,13952,10194,5039,409,13686,95,36552
17,90013,90013,11772,1630,7308,7308,22316,65566,7969,4590,4699,3603,152,2217,88,12559
18,90014,90014,7005,1496,5644,5644,40641,67825,5206,3482,3907,2040,43,1648,13,8688
19,90015,90015,18986,1732,10270,10270,43890,80234,11517,11134,8764,1658,180,3570,10,22651
20,90016,90016,47596,6143,17218,17218,48715,66037,22920,22979,19652,13974,129,2441,49,45899
21,90017,90017,23768,2332,11510,11510,35605,63540,14905,12818,10630,2317,360,4630,68,27723
22,90018,90018,49310,6136,16568,16568,45984,67108,25864,27626,15244,15580,229,2680,157,53490
23,90019,90019,64458,8317,24464,24464,56389,85483,31779,32755,23625,12025,302,10877,97,64534
24,90020,90020,38967,3782,16396,16396,49068,76983,19172,20017,10703,2655,362,17714,195,39189
25,90021,90021,3951,264,1734,1734,21635,57715,1813,1132,1253,532,57,168,0,2945
26,90022,90022,67179,7040,17603,17603,46051,59342,33009,34005,34587,319,678,801,24,67014
27,90023,90023,45903,4772,11691,11691,42972,54607,23685,22995,26928,626,307,395,0,46680
28,90024,90024,47452,5833,16515,16515,65855,135393,22964,28663,30716,1282,112,14410,102,51627
29,90025,90025,42147,5881,22015,22015,87280,117163,24061,22822,29827,2045,213,9499,32,46883
30,90026,90026,67869,7056,26045,26045,65269,91250,35124,33782,30366,2926,1123,10166,173,68906
31,90027,90027,45151,6501,21668,21668,66947,103501,21731,23039,29628,1045,46,5887,95,44770
32,90028,90028,28714,3742,16403,16403,45499,67298,16031,13743,16599,2991,155,2985,10,29774
33,90029,90029,38617,4688,13997,13997,41998,60177,18469,18199,13143,1313,99,6410,105,36668
34,90031,90031,39316,5438,11739,11739,48479,70691,19501,20415,12523,668,756,9404,25,39916
35,90032,90032,45786,6594,13493,13493,57225,74960,23664,24367,18342,860,629,5340,19,48031
36,90033,90033,48852,5360,13303,13303,38266,50344,23620,25535,27990,940,515,2134,127,49155
37,90034,90034,57964,5016,25248,25248,75714,98799,27438,26423,28754,5618,187,10569,155,53861
38,90035,90035,28418,3910,11816,11816,89337,136176,13000,14272,20663,1770,8,2042,36,27272
39,90036,90036,36865,3487,18559,18559,80539,119531,17540,20425,25780,2321,59,6214,78,37965
40,90037,90037,62276,5602,17699,17699,35424,49627,33928,33712,30192,10910,960,742,0,67640
41,90038,90038,28917,2450,12229,12229,47116,63529,15315,13265,13510,1895,173,1446,7,28580
